,Category,Attribute,Percent Of,2024_Lakeshore,2024_San Francisco,2023_Lakeshore,2023_San Francisco,2022_Lakeshore,2022_San Francisco,2021_Lakeshore,2021_San Francisco,2020_Lakeshore,2020_San Francisco,2019_Lakeshore,2019_San Francisco,2018_Lakeshore,2018_San Francisco,2017_Lakeshore,2017_San Francisco,2016_Lakeshore,2016_San Francisco,2015_Lakeshore,2015_San Francisco,2014_Lakeshore,2014_San Francisco,2013_Lakeshore,2013_San Francisco,2012_Lakeshore,2012_San Francisco,2011_Lakeshore,2011_San Francisco,2010_Lakeshore,2010_San Francisco,2000_Lakeshore,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,None,3671,156904,3581.0,158878.0,3646.0,164391.0,4036.0,177267.0,4897.0,179637.0,4249.0,194605.0,4801.0,196852.0,4234.0,201554.0,4482.0,206125.0,4468.0,208027.0,4591.0,219759.0,4696.0,217742.0,4787.0,213982.0,4946.0,212110.0,5090.0,209068.0,4581.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,None,626,156904,566.0,158878.0,651.0,142404.0,690.0,155085.0,3594.0,133315.0,1060.0,146746.0,2117.0,152803.0,125.0,131265.0,221.0,139452.0,218.0,146046.0,289.0,103611.0,781.0,106717.0,407.0,108966.0,917.0,114525.0,1134.0,119019.0,1524.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,None,2398,156904,3200.0,158878.0,3162.0,164391.0,2895.0,177267.0,4496.0,179637.0,3400.0,194605.0,4801.0,196852.0,1171.0,201554.0,1304.0,206125.0,2758.0,195487.0,1395.0,219759.0,3007.0,217742.0,3314.0,213982.0,3744.0,212110.0,4007.0,203005.0,3739.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,None,3671,156904,3581.0,158878.0,3646.0,164391.0,4036.0,177267.0,4897.0,179637.0,4249.0,194605.0,4801.0,196852.0,4004.0,201554.0,3911.0,206125.0,4329.0,208027.0,4591.0,219759.0,4696.0,217742.0,4787.0,213982.0,4946.0,212110.0,5090.0,209068.0,4581.0,209020.0
4,Affordability,100 AMI Annual Income,None,71120.68965517242,140630.3486172417,79468.91191709845,140840.72978303747,74678.57142857142,136440.23367285798,70996.62162162163,126479.8932723461,80389.39051918736,117453.07472291742,61914.89361702128,113537.43350844154,96372.03166226912,104995.55809378768,45932.53968253968,96817.47583985272,42572.46376811594,88612.28084661327,48057.85123966942,81982.65550239234,46991.86991869919,78773.52733781732,53179.19075144509,75789.09138932911,49607.62331838565,73882.86576506091,53802.52100840336,73015.850789739,54120.982986767485,71436.31988152536,46438.05309734513,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,None,5926.724137931035,11719.195718103474,6622.40932642487,11736.72748191979,6223.214285714285,11370.019472738166,5916.385135135136,10539.991106028841,6699.115876598947,9787.756226909785,5159.574468085107,9461.452792370128,8031.002638522426,8749.629841148973,3827.7116402116403,8068.122986654394,3547.7053140096614,7384.356737217772,4004.8209366391184,6831.887958532695,3915.989159891599,6564.460611484777,4431.599229287091,6315.7576157774265,4133.968609865471,6156.905480421742,4483.543417366946,6084.6542324782495,4510.081915563957,5953.02665679378,3869.8377581120944,4659.607465639873
6,Affordability,30 AMI Annual Income,None,21336.206896551725,42189.10458517251,23840.673575129535,42252.21893491124,22403.571428571424,40932.0701018574,21298.986486486487,37943.96798170383,24116.81715575621,35235.922416875226,18574.468085106382,34061.23005253246,28911.609498680733,31498.6674281363,13779.761904761905,29045.242751955815,12771.73913043478,26583.68425398398,14417.355371900825,24594.7966507177,14097.560975609756,23632.058201345193,15953.757225433525,22736.727416798734,14882.286995515695,22164.859729518274,16140.756302521007,21904.755236921697,16236.294896030246,21430.895964457606,13931.415929203538,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,None,1778.0172413793105,3515.758715431042,1986.7227979274612,3521.0182445759365,1866.9642857142853,3411.00584182145,1774.9155405405406,3161.9973318086522,2009.734762979684,2936.3268680729357,1547.8723404255318,2838.4358377110384,2409.3007915567277,2624.888952344692,1148.313492063492,2420.436895996318,1064.3115942028983,2215.3070211653317,1201.4462809917354,2049.5663875598084,1174.7967479674796,1969.3381834454328,1329.4797687861271,1894.7272847332279,1240.1905829596412,1847.0716441265229,1345.0630252100839,1825.3962697434747,1353.0245746691871,1785.9079970381338,1160.9513274336282,1397.882239691962
8,Affordability,50 AMI Annual Income,None,35560.34482758621,70315.17430862084,39734.455958549224,70420.36489151874,37339.28571428571,68220.11683642899,35498.31081081081,63239.94663617305,40194.69525959368,58726.53736145871,30957.44680851064,56768.71675422077,48186.01583113456,52497.77904689384,22966.26984126984,48408.73791992636,21286.23188405797,44306.140423306635,24028.92561983471,40991.32775119617,23495.934959349594,39386.76366890866,26589.595375722543,37894.54569466456,24803.811659192826,36941.432882530455,26901.26050420168,36507.9253948695,27060.491493383743,35718.15994076268,23219.026548672566,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,None,2963.3620689655177,5859.597859051737,3311.204663212435,5868.363740959895,3111.6071428571427,5685.009736369083,2958.192567567568,5269.995553014421,3349.5579382994733,4893.878113454893,2579.7872340425533,4730.726396185064,4015.501319261213,4374.814920574487,1913.8558201058202,4034.061493327197,1773.8526570048307,3692.178368608886,2002.4104683195592,3415.9439792663475,1957.9945799457994,3282.2303057423883,2215.7996146435453,3157.8788078887133,2066.9843049327355,3078.452740210871,2241.771708683473,3042.3271162391247,2255.0409577819787,2976.51332839689,1934.9188790560472,2329.8037328199366
10,Affordability,80 AMI Annual Income,None,56896.55172413794,112504.27889379335,63575.12953367876,112672.58382642998,59742.85714285714,109152.1869382864,56797.29729729731,101183.91461787689,64311.51241534989,93962.45977833394,49531.914893617024,90829.94680675323,77097.6253298153,83996.44647503016,36746.031746031746,77453.98067188218,34057.97101449275,70889.82467729061,38446.28099173554,65586.12440191388,37593.49593495935,63018.82187025386,42543.352601156075,60631.27311146329,39686.09865470853,59106.29261204873,43042.01680672269,58412.6806317912,43296.78638941399,57149.05590522029,37150.44247787611,44732.23167014279
11,Affordability,80 AMI Monthly Affordable Rent,None,4741.379310344829,9375.35657448278,5297.927461139897,9389.381985535832,4978.571428571428,9096.015578190532,4733.108108108109,8431.992884823074,5359.292701279158,7830.204981527829,4127.659574468085,7569.162233896102,6424.802110817942,6999.70387291918,3062.169312169312,6454.498389323515,2838.164251207729,5907.485389774218,3203.856749311295,5465.510366826157,3132.791327913279,5251.568489187822,3545.279383429673,5052.606092621941,3307.1748878923772,4925.524384337395,3586.8347338935578,4867.7233859826,3608.065532451166,4762.421325435024,3095.8702064896756,3727.6859725118993
12,Age,"0-2 Years, Under 6 Years",Population Under 6 Years,0.8138528138528138,0.5478517844964764,0.8021390374331551,0.5406992325496406,0.7,0.5435105855696382,0.4712990936555891,0.5452634434122194,0.5734265734265734,0.5463237718430597,0.5373134328358209,0.5439706576294453,0.4487632508833922,0.5485122061580229,0.5741626794258373,0.5440728159567982,0.5652173913043478,0.5398601090002427,0.3866666666666666,0.5406174484518621,0.467018469656992,0.5405688483381436,0.3022222222222222,0.5284299122869234,0.4296724470134875,0.5306792579454485,0.4621513944223107,0.537271756021756,0.6629464285714286,0.5470185194379623,0.4991243432574431,0.5067081678651927
13,Age,0-4 Years,Total Population,0.0171376024076241,0.0410560088487774,0.0134786587902487,0.0420818720739854,0.0178785218293558,0.0429241305894045,0.0189999263568745,0.044113206543054,0.0254709305964077,0.0449551586788678,0.0177015066549557,0.0451682212163969,0.0454867435741752,0.0454203559955169,0.0114447191805015,0.045376638858545,0.0211174043773162,0.0455484248199895,0.017447471972678,0.0453526040368801,0.0213264765938138,0.0451965654091783,0.0229736901963757,0.0448415927988704,0.0279828706438275,0.0443776522702378,0.0264432316088861,0.0442509760598566,0.0283677068159165,0.0440338149220979,0.0385906040268456,0.0400176122296851
14,Age,18-34 Years,Total Population,0.3741849189098813,0.2720516049880636,0.4268241950245445,0.2751838010561819,0.4714661984196663,0.2839780215639264,0.5125561528831284,0.2937872454640216,0.4238062456974779,0.305727332987868,0.5933382879535166,0.3058618588627659,0.3755312689738919,0.3066219589313914,0.5996467679265277,0.3056840821116546,0.5977204391301307,0.3052043890961046,0.5799985151087683,0.3044161499051527,0.5509339786735235,0.3034690431088777,0.5274092046402304,0.3032975760903671,0.5510927347903131,0.303876826740466,0.5216388654008763,0.3034485355963694,0.5104653837307368,0.3029564563668388,0.4562919463087248,0.3214952885998148
15,Age,"3-5 Years, Under 6 Years",Population Under 6 Years,0.1861471861471861,0.4521482155035235,0.1978609625668449,0.4593007674503593,0.3,0.4564894144303618,0.5287009063444109,0.4547365565877805,0.4265734265734265,0.4536762281569403,0.4626865671641791,0.4560293423705546,0.5512367491166078,0.4514877938419771,0.4258373205741627,0.4559271840432018,0.4347826086956521,0.4601398909997573,0.6133333333333333,0.4593825515481379,0.5329815303430079,0.4594311516618564,0.6977777777777778,0.4715700877130765,0.5703275529865125,0.4693207420545515,0.5378486055776892,0.4627282439782439,0.3370535714285714,0.4529814805620376,0.500875656742557,0.4932918321348073
16,Age,35-59 Years,Total Population,0.278632335729811,0.3571679565096113,0.2763125052000998,0.3582532487301127,0.2446324527097134,0.3555327627544171,0.2263789675233816,0.3533718894867573,0.2083359409224607,0.3441166739989114,0.1909330450645226,0.3477087189166407,0.2998380894555758,0.3498157591311249,0.1882020487460261,0.3530123918927381,0.1840430739109153,0.3570726313357319,0.195708664340337,0.3598353198993224,0.2047190501399077,0.3612654748190046,0.2301160057623777,0.3645669909005334,0.2132309509746013,0.3666356963787091,0.2489046045045737,0.3702449251164367,0.2658897492908073,0.3732403935169017,0.2762583892617449,0.3578295244311752
